shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,申請書管理番号,A
reserchItem60,bpchar,RString,,,,,調査項目60,A
reserchItem61,bpchar,RString,,,,,調査項目61,A
reserchItem62,bpchar,RString,,,,,調査項目62,A
reserchItem63,bpchar,RString,,,,,調査項目63,A
reserchItem64,bpchar,RString,,,,,調査項目64,A
reserchItem65,bpchar,RString,,,,,調査項目65,A
reserchItem66,bpchar,RString,,,,,調査項目66,A
reserchItem67,bpchar,RString,,,,,調査項目67,A
reserchItem68,bpchar,RString,,,,,調査項目68,A
reserchItem69,bpchar,RString,,,,,調査項目69,A
reserchItem70,bpchar,RString,,,,,調査項目70,A
reserchItem71,bpchar,RString,,,,,調査項目71,A
reserchItem72,bpchar,RString,,,,,調査項目72,A
reserchItem73,bpchar,RString,,,,,調査項目73,A
reserchItem74,bpchar,RString,,,,,調査項目74,A
reserchItem75,bpchar,RString,,,,,調査項目75,A
reserchItem76,bpchar,RString,,,,,調査項目76,A
reserchItem77,bpchar,RString,,,,,調査項目77,A
reserchItem78,bpchar,RString,,,,,調査項目78,A
reserchItem79,bpchar,RString,,,,,調査項目79,A
reserchItem80,bpchar,RString,,,,,調査項目80,A
reserchItem81,bpchar,RString,,,,,調査項目81,A
reserchItem82,bpchar,RString,,,,,調査項目82,A
reserchItem83,bpchar,RString,,,,,調査項目83,A
reserchItem84,bpchar,RString,,,,,調査項目84,A
reserchItem85,bpchar,RString,,,,,調査項目85,A
reserchItem86,bpchar,RString,,,,,調査項目86,A
reserchItem87,bpchar,RString,,,,,調査項目87,A
reserchItem88,bpchar,RString,,,,,調査項目88,A
reserchItem89,bpchar,RString,,,,,調査項目89,A
reserchItem90,bpchar,RString,,,,,調査項目90,A
reserchItem91,bpchar,RString,,,,,調査項目91,A
reserchItem92,bpchar,RString,,,,,調査項目92,A
reserchItem93,bpchar,RString,,,,,調査項目93,A
reserchItem94,bpchar,RString,,,,,調査項目94,A
reserchItem95,bpchar,RString,,,,,調査項目95,A
reserchItem96,bpchar,RString,,,,,調査項目96,A
reserchItem97,bpchar,RString,,,,,調査項目97,A
reserchItem98,bpchar,RString,,,,,調査項目98,A
ninchishoNichijoSeikatsuJiritsudoCode,UDD035Code,Code,,,,,認定調査・認知症高齢者の日常生活自立度コード,A
shogaiNichijoSeikatsuJiritsudoCode,UDD035Code,Code,,,,,認定調査・障害高齢者の日常生活自立度コード,A
