shinseishoKanriNo,DbUDD013ShinseishoKanriNo,ShinseishoKanriNo,,,,,申請書管理番号,A
zenYokaigoKubunCode,UDD035Code,Code,,,,,前回要介護状態区分コード,A
zenkaiNinteiYMD,UDD015YMD,FlexibleDate,,,,,前回認定年月日,A
zenkaiYukoKikanStart,UDD015YMD,FlexibleDate,,,,,前回認定有効期間（開始）,A
zenkaiYukoKikanEnd,UDD015YMD,FlexibleDate,,,,,前回認定有効期間（終了）,A
nigoIryoHokenshaName,text,RString,,,,,２号医療保険者名,A
nigoIryoHokenKigoBango,bpchar,RString,,,,,２号医療保険記号番号,A
nigoTokuteiShippeiCode,UDD035Code,Code,,,,,２号特定疾病コード,A
jidoWariateJogaishaKubun,bpchar,RString,,,,,自動割当除外者区分,A
johoteikyoDoiFlag,bool,boolean,,,,,情報提供への同意有無,A
johoteikyoSiryoOutputYMD,UDD015YMD,FlexibleDate,,,,,情報提供資料出力年月日,A
chosaKubun,UDD035Code,Code,,,,,調査区分,A
ninteiChosaItakusakiCode,varchar,ChosaItakusakiCode,,,,,認定調査委託先コード,A
ninteiChosainCode,varchar,ChosainCode,,,,,認定調査員コード,A
renrakuJikoToChosain,text,RString,,,,,調査員への連絡事項,A
shujiiIryokikanCode,varchar,ShujiiIryokikanCode,,,,,主治医医療機関コード,A
shujiiCode,varchar,ShujiiCode,,,,,主治医コード,A
shiteiiFlag,bool,boolean,,,,,指定医フラグ,A
ikenshoDataShubetsu,UDD035Code,Code,,,,,意見書データ種別,A
renrakuJikoToShujii,text,RString,,,,,主治医への連絡事項,A
enkitsuchiNashiDoiFlag,bool,boolean,,,,,認定延期通知発行しないことに対する同意有無,A
shisetsuNyushoFlag,bool,boolean,,,,,施設入所の有無,A
nyushoShisetsuCode,DbUDD004JigyoshaNo,JigyoshaNo,,,,,入所施設コード,A
kateiHomonFlag,bool,boolean,,,,,家庭訪問の有無,A
homonChosasakiYubinNo,UDD003YubinNo,YubinNo,,,,,訪問調査先郵便番号,A
homonChosasakiJusho,UDD046AtenaJusho,AtenaJusho,,,,,訪問調査先住所,A
homonChosasakiName,UDD042AtenaMeisho,AtenaMeisho,,,,,訪問調査先名称,A
homonChosasakiTelNo,UDD026TelNo,TelNo,,,,,訪問調査先電話番号,A
shichosonRenrakuJiko,text,RString,,,,,市町村連絡事項,A
shoriJotaiKubun,UDD035Code,Code,,,,,処理状態区分,A
torisageYMD,UDD015YMD,FlexibleDate,,,,,取下年月日,A
torisageRiyu,text,RString,,,,,取下理由,A
kyakkaYMD,UDD015YMD,FlexibleDate,,,,,却下年月日,A
kyakkaRiyu,text,RString,,,,,却下理由,A
enkiKetteiYMD,UDD015YMD,FlexibleDate,,,,,延期決定年月日,A
enkiRiyu,text,RString,,,,,延期理由,A
enkiTsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,延期通知発行年月日,A
enkiTsuchiHakkoKaisu,int2,int,,,,,延期通知発行回数,A
enkiMikomiKaishiYMD,UDD015YMD,FlexibleDate,,,,,延期見込期間開始年月日,A
enkiMikomiShuryoYMD,UDD015YMD,FlexibleDate,,,,,延期見込期間終了年月日,A
shinsaKeizokuFlag,bool,boolean,,,,,審査継続区分,A
shinsakaiYusenWaritsukeKubunCode,UDD035Code,Code,,,,,介護認定審査会優先振分区分コード,A
koshinTsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,更新通知発行年月日,A
koshinTsuchiHakkoKanryoYMD,UDD015YMD,FlexibleDate,,,,,更新通知発行完了年月日,A
ninteiShinseiJohoTorokuYMD,UDD015YMD,FlexibleDate,,,,,認定申請情報登録年月日,A
saiChosaIraiKaisu,int2,int,,,,,再調査依頼回数,A
saiSakuseiIraiKaisu,int2,int,,,,,再作成依頼回数,A
ifSofuYMD,UDD015YMD,FlexibleDate,,,,,ＩＦ送付年月日,A
logicalDeletedFlag,bool,boolean,,,,,論理削除フラグ,A
