shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
shiteiServiceShurui16,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類16,A
shiteiServiceShurui17,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類17,A
shiteiServiceShurui18,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類18,A
shiteiServiceShurui19,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類19,A
shiteiServiceShurui20,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類20,A
shiteiServiceShurui21,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類21,A
shiteiServiceShurui22,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類22,A
shiteiServiceShurui23,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類23,A
shiteiServiceShurui24,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類24,A
shiteiServiceShurui25,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類25,A
shiteiServiceShurui26,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類26,A
shiteiServiceShurui27,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類27,A
shiteiServiceShurui28,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類28,A
shiteiServiceShurui29,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類29,A
shiteiServiceShurui30,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類30,A
soshitsuYMD,UDD015YMD,FlexibleDate,,,,,喪失年月日,A
chokkinIdoYMD,UDD015YMD,FlexibleDate,,,,,直近異動年月日,A
chokkinIdoJiyuCode,UDD035Code,Code,,,,,直近異動事由コード,A
yukoMukoKubun,UDD035Code,Code,,,,,有効無効区分,A
dataKubun,UDD035Code,Code,,,,,データ区分,A
remban,bpchar,RString,,,,,同一連番,A
idoRiyu,text,RString,,,,,異動理由,A
shinseishoKubun,UDD035Code,Code,,,,,申請書区分,A
sakujoJiyuCode,UDD035Code,Code,,,,,削除事由コード,A
yoshienshaNinteiShinseiFlag,bool,boolean,,,,,要支援者認定申請区分,A
shikyuGendoTanisu,numeric,Decimal,,,,,支給限度単位数,A
shikyuGendoKaishiYMD,UDD015YMD,FlexibleDate,,,,,支給限度有効開始年月日,A
shikyuGendoShuryoYMD,UDD015YMD,FlexibleDate,,,,,支給限度有効終了年月日,A
tankiSikyuGendoNissu,int4,int,,,,,短期入所支給限度日数,A
tankiShikyuGendoKaishiYMD,UDD015YMD,FlexibleDate,,,,,短期入所支給限度開始年月日,A
tankiShikyuGendoShuryoYMD,UDD015YMD,FlexibleDate,,,,,短期入所支給限度終了年月日,A
toshoNinteiYukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,当初認定有効開始年月日,A
toshoNinteiYukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,当初認定有効終了年月日,A
jukyuShikakuShomeishoHakkoYMD1,UDD015YMD,FlexibleDate,,,,,受給資格証明書発行年月日１,A
jukyuShikakuShomeishoHakkoYMD2,UDD015YMD,FlexibleDate,,,,,受給資格証明書発行年月日２,A
shindanMeireishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,診断命令書発行年月日,A
nigoShinseiJuriTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,２号申請受理通知書発行年月日,A
ninteiKekkaTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,認定結果通知書発行年月日,A
kubunHenkoTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,区分変更通知書発行年月日,A
serviceHenkoTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,サービス変更通知書発行年月日,A
ninteiKyakkaTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,認定却下通知書発行年月日,A
ninteiTorikeshiTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,認定取消通知書発行年月日,A
shikakuShutokuMaeShinseiFlag,bool,boolean,,,,,資格取得前申請フラグ,A
kyuSochishaFlag,bool,boolean,,,,,旧措置者フラグ,A
logicalDeletedFlag,bool,boolean,,,,,論理削除フラグ,A
