kokanShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,交換情報識別番号,A
atoKohi1ServiceTanisu,int4,Decimal,,,,,後・公費１・サービス単位数,A
atoKohi1Seikyugaku,int4,Decimal,,,,,後・公費１・請求額,A
atoKohi1RiyoshaFutangaku,int4,Decimal,,,,,後・公費１・本人負担額,A
atoKohi1KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,後・公費１・緊急時施設療養費請求額,A
atoKohi1TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,後・公費１・特定診療費請求額,A
atoKohi1TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,後・公費１・特定入所者介護サービス費等請求額,A
atoKohi2ServiceTanisu,int4,Decimal,,,,,後・公費２・サービス単位数,A
atoKohi2Seikyugaku,int4,Decimal,,,,,後・公費２・請求額,A
atoKohi2RiyoshaFutangaku,int4,Decimal,,,,,後・公費２・利用者負担額,A
atoKohi2KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,後・公費２・緊急時施設療養費請求額,A
atoKohi2TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,後・公費２・特定診療費請求額,A
atoKohi2TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,後・公費２・特定入所者介護サービス費等請求額,A
atoKohi3ServiceTanisu,int4,Decimal,,,,,後・公費３・サービス単位数,A
atoKohi3Seikyugaku,int4,Decimal,,,,,後・公費３・請求額,A
atoKohi3RiyoshaFutangaku,int4,Decimal,,,,,後・公費３・利用者負担額,A
atoKohi3KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,後・公費３・緊急時施設療養費請求額,A
atoKohi3TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,後・公費３・特定診療費請求額,A
atoKohi3TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,後・公費３・特定入所者介護サービス費等請求額,A
keikaiKubunCode,varchar,RString,,,,,警告区分コード,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,審査年月,A
seiriNo,varchar,RString,,,,,整理番号,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,送付年月,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,取込年月,A
dokujiSakuseiKubun,varchar,RString,,,,,独自作成区分,A
hokenshaHoyuKyufujissekiJohoSakujoFlag,bool,boolean,,,,,保険者保有給付実績情報削除済フラグ,A
