jigyoshaNo,UDD060KaigoJigyoshaNo,UDD060KaigoJigyoshaNo,,,,,事業者番号,A
kaigoSienSemmoninSenjuHijokinshaNinsu,int2,int,,,,,介護支援専門員数（専従の非常勤者）,A
kaigoSienSemmoninKemmuJokinshaNinsu,int2,int,,,,,介護支援専門員数（兼務の常勤者）,A
kaigoSienSemmoninKemmuHijokinshaNinsu,int2,int,,,,,介護支援専門員数（兼務の非常勤者）,A
homonkaigoServiceTeikyoSekininshaNinsu,int2,int,,,,,訪問介護サービス提供責任者数,A
homonkaigoSenjuJokinshaNinsu,int2,int,,,,,訪問介護員数（専従の常勤者）,A
homonkaigoSenjuHijokinshaNinsu,int2,int,,,,,訪問介護員数（専従の非常勤者）,A
homonkaigoKemmuJokinshaNinsu,int2,int,,,,,訪問介護員数（兼務の常勤者）,A
homonkaigoKemmuHijokinshaNinsu,int2,int,,,,,訪問介護員数（兼務の非常勤者）,A
homonkaigoJokinKanzangoNinsu,int2,int,,,,,訪問介護員数（常勤換算後の人数）,A
riyoTeiinNinsu,int2,int,,,,,利用定員数,A
shiteiYukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,指定有効開始日,A
shiteiYukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,指定有効終了日,A
shiteiKoshinShinseichuKubun,UDD035Code,Code,,,,,指定更新申請中区分,A
koryokuTeishiKaishiYMD,UDD015YMD,FlexibleDate,,,,,効力停止開始日,A
koryokuTeishiShuryoYMD,UDD015YMD,FlexibleDate,,,,,効力停止終了日,A
daikiboJigyoshaGaito_umu,UDD035Code,Code,,,,,大規模事業所該当の有無,A
junUnitCareTaisei_umu,UDD035Code,Code,,,,,準ユニットケア体制の有無,A
judokaTaioTaisei_umu,UDD035Code,Code,,,,,重度化対応体制の有無,A
iryoRenkeiTaisei_umu,UDD035Code,Code,,,,,医療連携体制の有無,A
unitCareTaisei_umu,UDD035Code,Code,,,,,ユニットケア体制の有無,A
zaitaku_nyushoSogoRiyoTaisei_umu,UDD035Code,Code,,,,,在宅・入所相互利用体制の有無,A
terminalCareTaisei_umu,UDD035Code,Code,,,,,ターミナルケア体制（看取り介護体制）の有無,A
shintaiKosokuHaishiTorikumi_umu,UDD035Code,Code,,,,,身体拘束廃止取組の有無,A
shokiboKyotenShugoTaisei_umu,UDD035Code,Code,,,,,小規模拠点集合体制の有無,A
ninchishoCareKasan_umu,UDD035Code,Code,,,,,認知症ケア加算の有無,A
kobetsuKinoKunrenTaisei_umu,UDD035Code,Code,,,,,個別機能訓練体制の有無,A
kobetsuRehaTeikyoTaisei_RigakuRyohoI_umu,UDD035Code,Code,,,,,個別リハビリテーション提供体制（理学療法Ⅰ）の有無,A
kobetsuRehaTeikyoTaisei_RigakuRyohoII_umu2,UDD035Code,Code,,,,,個別リハビリテーション提供体制（理学療法Ⅱ）の有無2,A
kobetsuRehaTeikyoTaisei_SagyoRyoho_umu,UDD035Code,Code,,,,,個別リハビリテーション提供体制（作業療法）の有無,A
kobetsuRehaTeikyoTaisei_GengoChokakuRyoho_umu,UDD035Code,Code,,,,,個別リハビリテーション提供体制（言語聴覚療法）の有無,A
kobetsuRehaTeikyoTaisei_Sonota_umu,UDD035Code,Code,,,,,個別リハビリテーション提供体制（その他）の有無,A
setsubiKijun,UDD035Code,Code,,,,,設備基準,A
ryoyoTaiseiIjiTokubetsuKasan,UDD035Code,Code,,,,,療養体制維持特別加算,A
kobetsuRehaTeikyoTaisei_RehaShidoKanri_umu,UDD035Code,Code,,,,,個別リハビリテーション提供体制（リハビリテーション指導管理）の有無,A
sankyuHelperTaisei,UDD035Code,Code,,,,,３級ヘルパー体制,A
chuSankanChiikiShokiboJigyoshoKasan_chiiki,UDD035Code,Code,,,,,中山間地域等における小規模事業所加算（地域に関する状況）,A
chuSankanChiikiShokiboJigyoushoKasan_kibo,UDD035Code,Code,,,,,中山間地域等における小規模事業所加算（規模に関する状況）,A
serviceTeikyoTaiseiKyokaKasan,UDD035Code,Code,,,,,サービス提供体制強化加算,A
ninchishoTankiShuchuRehabilitationKasan,UDD035Code,Code,,,,,認知症短期集中リハビリテーション加算,A
jakunenseiNinchishoRiyoushaUkeeireKasan,UDD035Code,Code,,,,,若年性認知症利用者（入所者・患者）受入加算,A
kangoTaiseiKasan,UDD035Code,Code,,,,,看護体制加算,A
yakinShokuinHaichiKasan,UDD035Code,Code,,,,,夜勤職員配置加算,A
ryoyoShokuKasan,UDD035Code,Code,,,,,療養食加算,A
nichijoSeikatsuKeizokuShienKasan,UDD035Code,Code,,,,,日常生活継続支援加算,A
ninchishoSemmonCareKasan,UDD035Code,Code,,,,,認知症専門ケア加算,A
twentyFourHoursTsuhoTaioKasan,UDD035Code,Code,,,,,２４時間通報対応加算,A
kangoShokuinHaichiKasan,UDD035Code,Code,,,,,看護職員配置加算,A
yakanCareKasan,UDD035Code,Code,,,,,夜間ケア加算,A
shudanCommunicationRyoho_umu,UDD035Code,Code,,,,,集団コミュニケーション療法の有無,A
serviceTeikyoTaiseiKyokaKasan_Karadokogata,UDD035Code,Code,,,,,サービス提供体制強化加算（空床型）,A
nitchuShintaikaigoTaise_20funmiman_umu,UDD035Code,Code,,,,,日中の身体介護２０分未満体制の有無,A
serviceTeikyoSekininshaTaisei_umu,UDD035Code,Code,,,,,サービス提供責任者体制の有無,A
doitsuTatemonoKyojuRiyoshaGenzan_umu,UDD035Code,Code,,,,,同一建物に居住する利用者の減算の有無,A
kinkyuTankiNyushoTaiseiKakuhoKasan,UDD035Code,Code,,,,,緊急短期入所体制確保加算,A
zaitakuFukki_ZaitakuRyoyoShienKinoKasan,UDD035Code,Code,,,,,在宅復帰・在宅療養支援機能加算,A
seikatuKinoKojoGroupKatsudoKasan,UDD035Code,Code,,,,,生活機能向上グループ活動加算,A
kaigoShokuinShoguKaizenKasan,UDD035Code,Code,,,,,介護職員処遇改善加算,A
