shichosonCode,UDD023LasdecCode,LasdecCode,,,,,shichosonCode,A
shiteiServiceShurui04,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui04,A
shiteiServiceShurui05,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui05,A
shiteiServiceShurui06,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui06,A
shiteiServiceShurui07,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui07,A
shiteiServiceShurui08,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui08,A
shiteiServiceShurui09,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui09,A
shiteiServiceShurui10,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui10,A
shiteiServiceShurui11,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui11,A
shiteiServiceShurui12,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui12,A
shiteiServiceShurui13,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui13,A
shiteiServiceShurui14,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui14,A
shiteiServiceShurui15,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui15,A
shiteiServiceShurui16,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui16,A
shiteiServiceShurui17,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui17,A
shiteiServiceShurui18,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui18,A
shiteiServiceShurui19,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui19,A
shiteiServiceShurui20,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui20,A
shiteiServiceShurui21,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui21,A
shiteiServiceShurui22,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui22,A
shiteiServiceShurui23,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui23,A
shiteiServiceShurui24,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui24,A
shiteiServiceShurui25,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui25,A
shiteiServiceShurui26,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui26,A
shiteiServiceShurui27,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui27,A
shiteiServiceShurui28,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui28,A
shiteiServiceShurui29,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui29,A
shiteiServiceShurui30,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui30,A
soshitsuYMD,UDD015YMD,FlexibleDate,,,,,soshitsuYMD,A
chokkinIdoYMD,UDD015YMD,FlexibleDate,,,,,chokkinIdoYMD,A
chokkinIdoJiyuCode,UDD035Code,Code,,,,,chokkinIdoJiyuCode,A
yukoMukoKubun,UDD035Code,Code,,,,,yukoMukoKubun,A
dataKubun,UDD035Code,Code,,,,,dataKubun,A
remban,bpchar,RString,,,,,remban,A
idoRiyu,text,RString,,,,,idoRiyu,A
shinseishoKubun,UDD035Code,Code,,,,,shinseishoKubun,A
sakujoJiyuCode,UDD035Code,Code,,,,,sakujoJiyuCode,A
yoshienshaNinteiShinseiFlag,bool,boolean,,,,,yoshienshaNinteiShinseiFlag,A
shikyuGendoTanisu,numeric,Decimal,,,,,shikyuGendoTanisu,A
shikyuGendoKaishiYMD,UDD015YMD,FlexibleDate,,,,,shikyuGendoKaishiYMD,A
shikyuGendoShuryoYMD,UDD015YMD,FlexibleDate,,,,,shikyuGendoShuryoYMD,A
tankiSikyuGendoNissu,int4,int,,,,,tankiSikyuGendoNissu,A
tankiShikyuGendoKaishiYMD,UDD015YMD,FlexibleDate,,,,,tankiShikyuGendoKaishiYMD,A
tankiShikyuGendoShuryoYMD,UDD015YMD,FlexibleDate,,,,,tankiShikyuGendoShuryoYMD,A
toshoNinteiYukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,toshoNinteiYukoKaishiYMD,A
toshoNinteiYukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,toshoNinteiYukoShuryoYMD,A
jukyuShikakuShomeishoHakkoYMD1,UDD015YMD,FlexibleDate,,,,,jukyuShikakuShomeishoHakkoYMD1,A
jukyuShikakuShomeishoHakkoYMD2,UDD015YMD,FlexibleDate,,,,,jukyuShikakuShomeishoHakkoYMD2,A
shindanMeireishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,shindanMeireishoHakkoYMD,A
nigoShinseiJuriTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,nigoShinseiJuriTsuchishoHakkoYMD,A
ninteiKekkaTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,ninteiKekkaTsuchishoHakkoYMD,A
kubunHenkoTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,kubunHenkoTsuchishoHakkoYMD,A
serviceHenkoTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,serviceHenkoTsuchishoHakkoYMD,A
ninteiKyakkaTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,ninteiKyakkaTsuchishoHakkoYMD,A
ninteiTorikeshiTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,ninteiTorikeshiTsuchishoHakkoYMD,A
shikakuShutokuMaeShinseiFlag,bool,boolean,,,,,shikakuShutokuMaeShinseiFlag,A
kyuSochishaFlag,bool,boolean,,,,,kyuSochishaFlag,A
logicalDeletedFlag,bool,boolean,,,,,logicalDeletedFlag,A
